This list contains all games supported by FB Alpha.

2833 games supported in total; X = excluded from build; D = included in debug build only; NW = not working

  name		  status  full name						  parent	  year	  company	  hardware	  remarks
+---------------+-------+-------------------------------------------------------+---------------+-------+---------------+---------------+---------------------------------------+
| g_barn	| D	| Barney's Hide & Seek Game (U) [!]			| 		| 1900	| Unsorted	| Megadrive	| No sound				|
| bstars2	|  	| Baseball Stars 2					| 		| 1992	| SNK		| Neo Geo	| 					|
| bstars	|  	| Baseball Stars Professional				| 		| 1990	| SNK		| Neo Geo	| 					|
| g_basp	|  	| Bass Masters Classic Pro Edition (U) [!]		| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_bass	|  	| Bass Masters Classics (U) [!]				| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_batme	| D	| Batman (E)						| g_bat		| 1900	| Unsorted	| Megadrive	| No sound				|
| g_batmnj	|  	| Batman (J) [!]					| g_bat		| 1900	| Unsorted	| Megadrive	| 					|
| g_bat		|  	| Batman (U)						| 		| 1900	| Unsorted	| Megadrive	| No sound				|
| g_batj	| D	| Batman - Revenge of the Joker (U) [!]			| 		| 1900	| Unsorted	| Megadrive	| No sound in-game			|
| g_batr	| D	| Batman Returns (W) [!]				| 		| 1900	| Unsorted	| Megadrive	| Bad sound				|
| batsugun	|  	| Batsugun (set 1)					| 		| 1993	| Toaplan	| Dual Toaplan G| No sound (sound MCU not dumped)	|
| batsugna	|  	| Batsugun (set 2)					| batsugun	| 1993	| Dual Toaplan	| Toaplan GP9001| No sound (sound MCU not dumped)	|
| batugnsp	|  	| Batsugun Special Ver.					| batsugun	| 1993	| Dual Toaplan	| Toaplan GP9001| No sound (sound MCU not dumped)	|
| bbakraid	|  	| Battle Bakraid (ver. Wed Apr 7 1999)			| 		| 1999	| Eighting	| Toaplan GP9001| 					|
